source,pays,indicateur,code_indicateur,annee,valeur
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2013,7493.42645044448
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2012,7016.91155715758
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2011,6743.86276943037
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2010,6078.51492348281
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2009,5881.6693470294
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2008,5546.86216362401
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2007,5585.85948703704
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2006,5372.45833458387
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2005,5765.15535136369
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2004,6248.33726602837
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2003,6531.32270729572
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2002,7011.37160923118
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2001,7140.19678861776
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2000,6970.07215893473
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2025,22.4987033658158
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2024,22.2601889055951
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2023,22.2534331304009
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2022,22.3232195016833
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2021,21.8887991748021
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2020,21.4155213914915
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2019,21.1445178069339
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2018,17.9891394882352
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2017,15.1250427755088
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2016,12.6227485209244
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2015,12.9921811664
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2014,13.5956397199236
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2013,14.1948949845482
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2012,14.7233444030222
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2011,15.2735160022577
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2010,15.7796964506197
World Bank,Senegal,Employment in industry (% total employment),SL.IND.EMPL.ZS,2009,16.2764655415499
